"Job ID","Job Name","CPUs Allocated","CPU Efficiency","Memory Efficiency","Actual Walltime","Time Job Finished","Job State"
50866852,runjob.sh,1,1.00,0.79,1-23:11:18,"2022-07-23 15:49:26",COMPLETE
50866870,runjob.sh,1,1.00,0.79,1-22:06:12,"2022-07-23 14:44:20",COMPLETE
50866863,runjob.sh,1,1.00,0.78,1-21:22:08,"2022-07-23 14:00:16",COMPLETE
50866683,runjob.sh,1,1.00,0.78,1-18:53:19,"2022-07-23 11:17:37",COMPLETE
50866676,runjob.sh,1,1.00,0.78,1-18:51:06,"2022-07-23 11:12:01",COMPLETE
50866859,runjob.sh,1,1.00,0.79,1-18:05:50,"2022-07-23 10:43:58",COMPLETE
50866833,runjob.sh,1,1.00,0.78,1-18:05:23,"2022-07-23 10:43:18",COMPLETE
50866774,runjob.sh,1,1.00,0.78,1-17:32:19,"2022-07-23 10:07:24",COMPLETE
50866839,runjob.sh,1,1.00,0.78,1-17:02:39,"2022-07-23 09:40:34",COMPLETE
50866844,runjob.sh,1,1.00,0.78,1-16:53:23,"2022-07-23 09:31:18",COMPLETE
50866669,runjob.sh,1,1.00,0.78,1-17:03:16,"2022-07-23 09:24:11",COMPLETE
50866792,runjob.sh,1,1.00,0.78,1-16:41:54,"2022-07-23 09:16:59",COMPLETE
50866638,runjob.sh,1,1.00,0.78,1-16:48:38,"2022-07-23 08:48:22",COMPLETE
50866808,runjob.sh,1,1.00,0.78,1-15:54:22,"2022-07-23 08:30:04",COMPLETE
50866734,runjob.sh,1,1.00,0.78,1-15:34:15,"2022-07-23 08:06:54",COMPLETE
50866662,runjob.sh,1,1.00,0.78,1-15:27:48,"2022-07-23 07:48:08",COMPLETE
50866691,runjob.sh,1,1.00,0.78,1-15:01:06,"2022-07-23 07:33:45",COMPLETE
50866766,runjob.sh,1,1.00,0.78,1-14:59:46,"2022-07-23 07:32:25",COMPLETE
50866961,runjob.sh,1,1.00,0.78,1-14:10:40,"2022-07-23 07:07:56",COMPLETE
50866785,runjob.sh,1,1.00,0.78,1-14:13:47,"2022-07-23 06:48:52",COMPLETE
50866882,runjob.sh,1,1.00,0.79,1-13:50:22,"2022-07-23 06:46:21",COMPLETE
50866855,runjob.sh,1,1.00,0.78,1-14:03:26,"2022-07-23 06:41:34",COMPLETE
50866874,runjob.sh,1,1.00,0.80,1-13:08:08,"2022-07-23 05:58:09",COMPLETE
50866959,runjob.sh,1,1.00,0.80,1-12:31:47,"2022-07-23 05:28:52",COMPLETE
50866861,runjob.sh,1,1.00,0.78,1-12:41:51,"2022-07-23 05:19:59",COMPLETE
50866611,runjob.sh,1,1.00,0.78,1-12:49:21,"2022-07-23 04:45:06",COMPLETE
50866619,runjob.sh,1,1.00,0.78,1-12:27:59,"2022-07-23 04:26:34",COMPLETE
50866867,runjob.sh,1,1.00,0.78,1-11:04:40,"2022-07-23 03:42:48",COMPLETE
50866649,runjob.sh,1,1.00,0.77,1-10:57:10,"2022-07-23 03:15:24",COMPLETE
50866849,runjob.sh,1,1.00,0.77,1-07:41:58,"2022-07-23 00:19:53",COMPLETE
50866645,runjob.sh,1,1.00,0.77,1-07:56:24,"2022-07-23 00:14:38",COMPLETE
50866653,runjob.sh,1,1.00,0.77,1-06:47:34,"2022-07-22 23:07:54",COMPLETE
50866647,runjob.sh,1,1.00,0.77,1-06:27:40,"2022-07-22 22:45:54",COMPLETE
50866710,runjob.sh,1,1.00,0.77,1-04:20:35,"2022-07-22 20:53:14",COMPLETE
50866651,runjob.sh,1,1.00,0.78,1-04:20:07,"2022-07-22 20:39:43",COMPLETE
50866657,runjob.sh,1,1.00,0.76,1-04:19:15,"2022-07-22 20:39:35",COMPLETE
50866841,runjob.sh,1,1.00,0.77,1-03:27:06,"2022-07-22 20:05:01",COMPLETE
